Name,Location,City,P.O. Box,Phone,Mobile,Company Page Link,Logo URL
Brunswick Sports Club,Mall Of The Emirates,Dubai,N/A,056-4040685,N/A,https://www.yellowpages-uae.com/brunswick-sports-club-175809.html,
BU American Restaurant,"World Trade Centre Mall, Airport Road",Abu Dhabi,N/A,02-6668066,N/A,https://www.yellowpages-uae.com/bu-american-restaurant-175680.html,
Bu Qtair,Jumeirah Beach Road,Dubai,N/A,055-7052130,N/A,https://www.yellowpages-uae.com/bu-qtair-175748.html,
Bundoo Khan,Al Futtaim Rd,Dubai,N/A,04-2336333,N/A,https://www.yellowpages-uae.com/bundoo-khan-143128.html,
Bur Al Hickman Hospitality,N/A,Dubai,49463,04-3808848,N/A,https://www.yellowpages-uae.com/bur-al-hickman-hospitality-152102.html,
Burger & Lobster,DIFC,Dubai,N/A,04-5148838,N/A,https://www.yellowpages-uae.com/burger-lobster-175810.html,
Burger Joint New York,City Walk,Dubai,N/A,04-3444459,N/A,https://www.yellowpages-uae.com/burger-joint-new-york-175749.html,
Burj Al Khan Restaurant,Al Khan,Sharjah,N/A,06-5546422,N/A,https://www.yellowpages-uae.com/burj-al-khan-restaurant-148180.html,
Bushmans,The Palm,Dubai,N/A,04-5678304,N/A,https://www.yellowpages-uae.com/bushmans-175811.html,
Bussola,"Western Mina Seyahi, Al Soufouh Rd, Dubai Marina",Dubai,N/A,04-3994141,N/A,https://www.yellowpages-uae.com/bussola-175644.html,
Butcher & Still,"Four Seasons, Al Maryah",Abu Dhabi,N/A,02-3332700,N/A,https://www.yellowpages-uae.com/butcher-still-175681.html,
Cactus Jacks,"Millenium Airport Road Hotel, Al Garhoud",Dubai,N/A,04-7028844,N/A,https://www.yellowpages-uae.com/cactus-jacks-175638.html,
Caesar Garden Restaurant,Near Al Wahda Post Office,Sharjah,N/A,06-5594140,N/A,https://www.yellowpages-uae.com/caesar-garden-restaurant-147328.html,
Caesar's Restaurant and Confectionery,"Opp Choithram S/Market, Electra St",Abu Dhabi,44514,02-6787244,N/A,https://www.yellowpages-uae.com/caesar-s-restaurant-and-confectionery-107719.html,
Caf Barbera,"Al Salam Tower, Dubai Media City",Dubai,N/A,04-4468616,N/A,https://www.yellowpages-uae.com/caf-barbera-102752.html,
Cafe,"The Walk, Jumeirah Beach Residence, JBR",Dubai,N/A,04-4281551,N/A,https://www.yellowpages-uae.com/caf--145303.html,
Cafe Arabesque,"Park Hyatt, Deira",Dubai,N/A,04-3172222,N/A,https://www.yellowpages-uae.com/cafe-arabesque-175641.html,
Cafe Arabia,N/A,Abu Dhabi,N/A,02-6439699,N/A,https://www.yellowpages-uae.com/cafe-arabia-175636.html,
Cafe Belge,Ritz Carlton. DIFC,Dubai,N/A,04-3722323,N/A,https://www.yellowpages-uae.com/cafe-belge-175812.html,
Cafe Berlin Restaurant,"Grand Cinema Bldg, Al Buhaira Corniche",Sharjah,N/A,06-5564564,N/A,https://www.yellowpages-uae.com/cafe-berlin-restaurant-146792.html,
Cafe D Alsace,Yas Marina,Abu Dhabi,N/A,02-4963412,N/A,https://www.yellowpages-uae.com/cafe-d-alsace-168557.html,
Cafe Diego,Al Khubeirah,Abu Dhabi,N/A,02-6772344,N/A,https://www.yellowpages-uae.com/cafe-diego-175682.html,
Cafe Du Roi LLC,TCA,Abu Dhabi,25024,02-6816367,N/A,https://www.yellowpages-uae.com/cafe-du-roi-llc-147167.html,
Cafe Julie,JLT,Dubai,N/A,04-3649477,N/A,https://www.yellowpages-uae.com/cafe-julie-147105.html,
Cafe Nikki,Pearl Jumeirah,Dubai,N/A,04-3766000,N/A,https://www.yellowpages-uae.com/cafe-nikki-175813.html,
Caliburger,Shk Zayed Road,Dubai,N/A,800 2254,N/A,https://www.yellowpages-uae.com/caliburger-175556.html,
Calicut Town Restaurant,"Al Najoom Bldg, Bhnd DNATA, Port Saeed, Deira",Dubai,N/A,04-2698862,N/A,https://www.yellowpages-uae.com/calicut-town-restaurant-175332.html,
Can Can Brasserie,"Ritz Carlton, DIFC",Dubai,N/A,04-3722222,N/A,https://www.yellowpages-uae.com/can-can-brasserie-175814.html,
Canopy Restaurant,Hamdan St,Abu Dhabi,38541,02-6788036,N/A,https://www.yellowpages-uae.com/canopy-restaurant-141445.html,
Cantina Laredo,"Khalidiya Mall, Khalidiya Street",Abu Dhabi,N/A,600 561112,N/A,https://www.yellowpages-uae.com/cantina-laredo-175633.html,
Canton Restaurant,N/A,Sharjah,N/A,06-5676310,N/A,https://www.yellowpages-uae.com/canton-restaurant-68558.html,
Capitol Hotel,"Al Mina Rd, Satwa",Dubai,33228,04-3460111,N/A,https://www.yellowpages-uae.com/capitol-hotel-119224.html,
Captain Pastry,TCA,Abu Dhabi,N/A,02-4452995,N/A,https://www.yellowpages-uae.com/captain-pastry-175589.html,
Caramel Restaurant & Lounge,Saadiyat Island,Abu Dhabi,N/A,02-6783344,N/A,https://www.yellowpages-uae.com/caramel-restaurant-lounge-175683.html,
Caravan Restaurant,Electra St,Abu Dhabi,42757,02-6393370,N/A,https://www.yellowpages-uae.com/caravan-restaurant-110377.html,
Caribou Coffee,Dubai Mall LG,Dubai,N/A,04-3399212,N/A,https://www.yellowpages-uae.com/caribou-coffee-106902.html,
Caribou Coffee,Garhoud,Dubai,N/A,04-2833577,N/A,https://www.yellowpages-uae.com/caribou-coffee-147113.html,
Carlton Tower Hotel,"Creek Side, Baniyas St, Deira",Dubai,1955,04-2227111,N/A,https://www.yellowpages-uae.com/carlton-tower-hotel-120188.html,
Carnival By Tresind,"Burj Daman Building, DIFC",Dubai,N/A,04-4218665,N/A,https://www.yellowpages-uae.com/carnival-by-tresind-175815.html,
Casa De Tapas,Dubai Creek Golf,Dubai,N/A,04-4161800,N/A,https://www.yellowpages-uae.com/casa-de-tapas-175816.html,
Castlerock Restaurant,Hamdan St,Abu Dhabi,55217,02-6348345,N/A,https://www.yellowpages-uae.com/castlerock-restaurant-115016.html,
Catch Restaurant & Lounge,"Restaurant Unit 2, Nation Riviera, Nation Towers",Abu Dhabi,N/A,02-6110909,N/A,https://www.yellowpages-uae.com/catch-restaurant-lounge-168556.html,
Cavalli Club,"Farimont Hotel, Shk Zayed Road",Dubai,N/A,04-3329260,N/A,https://www.yellowpages-uae.com/cavalli-club-175817.html,
Cedar Lounge,Farimont Bab Al bahr,Abu Dhabi,N/A,02-6543223,N/A,https://www.yellowpages-uae.com/cedar-lounge-175684.html,
Cettinad Restaurant,Next to Abu Dhabi Flour Mill,Abu Dhabi,105777,02-6777699,N/A,https://www.yellowpages-uae.com/cettinad-restaurant-122707.html,
Ceviche,"Emirates Financial Towers, DIFC",Dubai,N/A,04-3266333,N/A,https://www.yellowpages-uae.com/ceviche-175819.html,
Cha Cha Chai,"Amna Bldg, Near IT Plaza",Dubai,N/A,04-3263261,N/A,https://www.yellowpages-uae.com/cha-cha-chai-175239.html,
Chaanakyas Restaurant LLLC,"Food Court, Al Khail Mall, Al Quoz",Dubai,N/A,04-3306066,N/A,https://www.yellowpages-uae.com/chaanakyas-restaurant-lllc-102754.html,
Chaavadi Restaurant,"ESBIJ Street, Behind Emirates Islamic Bank, Opp. Royal Ascot Hotel",Dubai,N/A,04-3595057,N/A,https://www.yellowpages-uae.com/chaavadi-restaurant-175311.html,
Chai Chat,N/A,Dubai,N/A,04-3412331,N/A,https://www.yellowpages-uae.com/chai-chat-175366.html,
Chamas,"Ground floor, Intercontinental Hotel, Bainuna Street",Abu Dhabi,N/A,02-6666888,N/A,https://www.yellowpages-uae.com/chamas-175685.html,
Charleys Grilled Subs,Deira City Center,Dubai,32674,04-3520500,N/A,https://www.yellowpages-uae.com/charleys-grilled-subs-119254.html,
Chatime,Electra and Salam Intersection,Abu Dhabi,N/A,050-1275389,N/A,https://www.yellowpages-uae.com/chatime-175529.html,
Chautari Restaurant,Bur Dubai,Dubai,242656,04-3571606,N/A,https://www.yellowpages-uae.com/chautari-restaurant-172962.html,
Chelsea Restaurant LLC,"Yasmin Bldg, Near Cricket Stadium",Sharjah,N/A,06-5438400,N/A,https://www.yellowpages-uae.com/chelsea-restaurant-llc-151049.html,
Chennai Restaurant LLC,Abu Shagara,Sharjah,35172,06-5542288,N/A,https://www.yellowpages-uae.com/chennai-restaurant-llc-175214.html,
Cherry Blossoms Restaurant LLC,Jebel Ali,Jebel Ali,4511,04-8847533,N/A,https://www.yellowpages-uae.com/cherry-blossoms-restaurant-llc-149218.html,
Chettinadu City Restaurant,"Near Manama Supermarket, Kalba Rd",Sharjah,N/A,06-5353596,N/A,https://www.yellowpages-uae.com/chettinadu-city-restaurant-148172.html,
Chhappan Bhog Restaurant,Salam St,Abu Dhabi,7789,02-6778864,N/A,https://www.yellowpages-uae.com/chhappan-bhog-restaurant-110354.html,
Chicken Corner,"Al Zahara St, Nasseria",Sharjah,38426,06-5640070,N/A,https://www.yellowpages-uae.com/chicken-corner-148168.html,
Chicken Cottage,Jumeirah,Dubai,N/A,04-4405994,N/A,https://www.yellowpages-uae.com/chicken-cottage-146604.html,
Chicken Express Restaurant LLC,"Bhnd Bank Sedarat Iran, Rolla",Sharjah,N/A,06-5686969,N/A,https://www.yellowpages-uae.com/chicken-express-restaurant-llc-151046.html,
Chicken Street Cafeteria,"Behind Mashreq Bank, Electra Street",Abu Dhabi,N/A,02-6794989,N/A,https://www.yellowpages-uae.com/chicken-street-cafeteria-175515.html,
Chicken Tikka Inn Restaurant,Near Qassimia R/A,Sharjah,1724,06-5749822,N/A,https://www.yellowpages-uae.com/chicken-tikka-inn-restaurant-138545.html,
Chicking Fried Chicken,"Century Mall, Deira",Dubai,87548,04-2967232,N/A,https://www.yellowpages-uae.com/chicking-fried-chicken-108096.html,
Chik Bites Restaurant & Cafe,"Damascus St,",Dubai,N/A,04-2344994,N/A,https://www.yellowpages-uae.com/chik-bites-restaurant-cafe-175497.html,
Chin Chin,Dubai Marina,Dubai,N/A,04-4503543,N/A,https://www.yellowpages-uae.com/chin-chin-147396.html,
China Grill,Al Sufouh,Dubai,N/A,04-5117333,N/A,https://www.yellowpages-uae.com/china-grill-175624.html,
China Park,Al Nahda,Sharjah,N/A,06-5313900,N/A,https://www.yellowpages-uae.com/china-park-147580.html,
China Wind Restaurant,"Near Classic Computers, King Faisal Rd",Sharjah,49816,06-5723052,N/A,https://www.yellowpages-uae.com/china-wind-restaurant-129364.html,
China Wok Restaurant,"Opp Dubai Grand Hotel, Bhnd Sunrise S/Market",Dubai,3132,04-2631590,N/A,https://www.yellowpages-uae.com/china-wok-restaurant-175207.html,
Chinchaaus Restaurant,"Amman St, Al Nahda 2",Dubai,N/A,04-2510011,N/A,https://www.yellowpages-uae.com/chinchaaus-restaurant-141979.html,
Chinese Star Restaurant,Al Wahda,Sharjah,N/A,06-5720898,N/A,https://www.yellowpages-uae.com/chinese-star-restaurant-146806.html,
Chival,The City Walk,Dubai,N/A,04-4033111,N/A,https://www.yellowpages-uae.com/chival-175820.html,
Choice Refreshment and Grills,"Behind ADNOC, Salam Street",Abu Dhabi,N/A,02-6712151,N/A,https://www.yellowpages-uae.com/choice-refreshment-grills-175527.html,
Choice Restaurant,Old Passport Rd,Abu Dhabi,27207,02-6416587,N/A,https://www.yellowpages-uae.com/choice-restaurant-135169.html,
Choice Restaurant,"Near Gulf Cinema, Al Nakheel",Ras Al Khaimah,4966,07-2226225,N/A,https://www.yellowpages-uae.com/choice-restaurant-116323.html,
Choices,"Yas Island, Rotana Hotel",Abu Dhabi,N/A,02-6564000,N/A,https://www.yellowpages-uae.com/choices-142517.html,
Chops N Hopes Restaurant,"Behind Mall Of Emirates, Barsha 1",Dubai,37201,04-3654446,N/A,https://www.yellowpages-uae.com/chops-n-hopes-restaurant-175602.html,
Chowking,Al Nahda 2,Dubai,N/A,04-2382837,N/A,https://www.yellowpages-uae.com/chowking-110151.html,
Chowking Orient Restaurant,"G-39, Al Ghurair City, Deira",Dubai,285849,04-2288377,N/A,https://www.yellowpages-uae.com/chowking-orient-restaurant-142989.html,
Chuck Wagon Restaurant - Pearl Hotel,Sh Rashid Palace Road,Umm Al Quwain,887,06-7666678,N/A,https://www.yellowpages-uae.com/chuck-wagon-restaurant-pearl-hotel-15872.html,
Cinema New Restaurant,"SEWA Bldg, Near Sharjah Cinema, Al Mina Rd",Sharjah,167,06-5681006,N/A,https://www.yellowpages-uae.com/cinema-new-restaurant-131468.html,
Cipriani,"Gate Village 10, Building 3, DIFC",Dubai,N/A,04-3470003,N/A,https://www.yellowpages-uae.com/cipriani-175631.html,
Circo,"Inter Continental, Al Bateen",Abu Dhabi,N/A,02-6666888,N/A,https://www.yellowpages-uae.com/circo-175686.html,
City Burger,Bhnd Al Mariya Cinema,Abu Dhabi,N/A,02-6716788,N/A,https://www.yellowpages-uae.com/city-burger-145579.html,
City Diamond Restaurant,"Near Super Bonanza Hypermarket, Al Quoz 2",Dubai,N/A,04-3466617,N/A,https://www.yellowpages-uae.com/city-diamond-restaurant-144270.html,
City Grill Restaurant,"Near Al Fahidi Souq, Street 33, Meena Bazar",Dubai,N/A,04-3529277,N/A,https://www.yellowpages-uae.com/city-grill-restaurant-175289.html,
City House Restaurant,N/A,Abu Dhabi,N/A,02-6343060,N/A,https://www.yellowpages-uae.com/city-house-restaurant-175505.html,
City King Restaurant,"Behind Lulu Centre, Salam Street",Abu Dhabi,N/A,02-6778848,N/A,https://www.yellowpages-uae.com/city-king-restaurant-175550.html,
City Palace Restaurant,Khalifa St,Abu Dhabi,31912,02-6262762,N/A,https://www.yellowpages-uae.com/city-palace-restaurant-131343.html,
City Restaurant,Satwa,Dubai,N/A,04-3312380,N/A,https://www.yellowpages-uae.com/city-restaurant-103618.html,
Classio Master Restaurant & Cafeteria,"Near Fahidi Metro Station, Musalla",Dubai,N/A,04-3939732,N/A,https://www.yellowpages-uae.com/classio-master-restaurant-cafeteria-175577.html,
Claw BBQ,Downtown Dubai,Dubai,N/A,04-4322300,N/A,https://www.yellowpages-uae.com/claw-bbq-175822.html,
Cleopatra Restaurant - Ana Palace Hotel,"G Flr, Near Sabkha Bus Stn, Deira",Dubai,28490,04-2258899,N/A,https://www.yellowpages-uae.com/cleopatra-restaurant-ana-palace-hotel-62622.html,
Clinton Street Baking Company,Downtown Dubai,Dubai,N/A,04-4281331,N/A,https://www.yellowpages-uae.com/clinton-street-baking-company-175750.html,
Coastal Butlers Restaurant LLC,Damascus Street,Dubai,N/A,04-2884428,N/A,https://www.yellowpages-uae.com/coastal-butlers-restaurant-llc-175323.html,
Coco's Restaurant,Jumeirah Beach Residence,Dubai,32100,04-4243740,N/A,https://www.yellowpages-uae.com/coco-s-restaurant-115488.html,
Colombo Restaurant,"Morejag New Mosque Rd, National Paint",Sharjah,70587,055-2912477,N/A,https://www.yellowpages-uae.com/colombo-restaurant-148170.html,
Common Grounds,Dubai Marina,Dubai,N/A,050-4781094,N/A,https://www.yellowpages-uae.com/common-grounds-175751.html,
Comptoir 102,Jumeirah Beach Road,Dubai,N/A,04-3854555,N/A,https://www.yellowpages-uae.com/comptoir-102-175752.html,
Cook Hall,Al Habtoor City,Dubai,N/A,04-4373333,N/A,https://www.yellowpages-uae.com/cook-hall-175823.html,
Coopers Restaurant,"Park Rotana, Al Matar",Abu Dhabi,N/A,02-6573333,N/A,https://www.yellowpages-uae.com/coopers-restaurant-175687.html,
Corner Cafe,"X2 Tower, Ground Floor",Dubai,N/A,04-4564984,N/A,https://www.yellowpages-uae.com/corner-cafe-175302.html,
Countryside,"Fakhruddin Executive Building, International City",Dubai,N/A,800-2686879,N/A,https://www.yellowpages-uae.com/countryside-67368.html,
Couqley,"Laguna Tower, JLT",Dubai,N/A,04-5149339,N/A,https://www.yellowpages-uae.com/couqley-175824.html,
Coya,N/A,Dubai,N/A,04-3169600,N/A,https://www.yellowpages-uae.com/coya-175688.html,
Creek Restaurant,Al Nahda,Sharjah,N/A,06-5365466,N/A,https://www.yellowpages-uae.com/creek-restaurant-151064.html,
CuiScene,Farimont Bab Al Bahr,Abu Dhabi,N/A,02-6543238,N/A,https://www.yellowpages-uae.com/cuiscene-175690.html,
Culinary Boutique,Jumeirah 1,Dubai,N/A,04-3450023,N/A,https://www.yellowpages-uae.com/culinary-boutique-175825.html,
Curry Express,"Ramla Mall Food Court, DIP",Jebel Ali,N/A,04-8847868,N/A,https://www.yellowpages-uae.com/curry-express-147106.html,
"Curry House, The",Electra St,Abu Dhabi,44251,02-6328860,N/A,https://www.yellowpages-uae.com/curry-house-the-130534.html,
Curry Leaf,"Al Mussalla Tower, Bur Dubai",Dubai,N/A,04-3978940,N/A,https://www.yellowpages-uae.com/curry-leaf-67689.html,
Curry Toast,"opposite BurJuman Centre, Bur Dubai",Dubai,N/A,04-3547477,N/A,https://www.yellowpages-uae.com/curry-toast-67374.html,
D Bar & Grill,Dubai World Trade Centre,Dubai,N/A,050-7240471,N/A,https://www.yellowpages-uae.com/d-bar-grill-175826.html,
Dai Pai Dong,N/A,Abu Dhabi,N/A,02-8135552,N/A,https://www.yellowpages-uae.com/dai-pai-dong-175691.html,
Dai Shi Dai,"Murjan 1, Jumeirah Beach Residence",Dubai,N/A,04-4270268,N/A,https://www.yellowpages-uae.com/dai-shi-dai-67690.html,
Daily Restaurant,Qusais,Dubai,32645,04-2673708,N/A,https://www.yellowpages-uae.com/daily-restaurant-119209.html,
Dakshin,"Lotus Hotel, Opp Al Ghurair City",Dubai,N/A,04-2278888,N/A,https://www.yellowpages-uae.com/dakshin-67691.html,
Dalchini,N/A,Abu Dhabi,N/A,02-4917977,N/A,https://www.yellowpages-uae.com/dalchini-145482.html,
Dallas Restaurant,"Bin Suloom Bldg, Al Shaab Colony, Deira",Dubai,83171,04-2691178,N/A,https://www.yellowpages-uae.com/dallas-restaurant-132850.html,
Dar Al Mandi Restaurant Kitchen,"Near Al Safa Supermarket, Electra Street",Abu Dhabi,N/A,02-6330066,N/A,https://www.yellowpages-uae.com/dar-al-mandi-restaurant-kitchen-175513.html,
Dar Ward Restaurant,Al Ittihad Road,Sharjah,83874,06-5222411,N/A,https://www.yellowpages-uae.com/dar-ward-restaurant-175594.html,
Dasprakash Rest,"Near Day to Day, Karama",Dubai,111810,04-3965595,N/A,https://www.yellowpages-uae.com/dasprakash-rest-128989.html,
Day Fresh Restaurant,"Bhnd Al Moosa Tower, Satwa",Dubai,205,04-3289488,N/A,https://www.yellowpages-uae.com/day-fresh-restaurant-143702.html,
De La Costa,Saadiyat Island,Abu Dhabi,N/A,02-6563500,N/A,https://www.yellowpages-uae.com/de-la-costa-175692.html,
De Thali,Madinat Zayed,Abu Dhabi,N/A,02-6278644,N/A,https://www.yellowpages-uae.com/de-thali-145638.html,
Dean & Deluca,"Souk Al Bahar, Dubail Mall",Dubai,N/A,04-4200336,N/A,https://www.yellowpages-uae.com/dean-deluca-175753.html,
Deena Leena Restaurant,"Opp Concorde Cinema, Al Zahra St",Sharjah,28390,06-5617161,N/A,https://www.yellowpages-uae.com/deena-leena-restaurant-115280.html,
Delhi Cafeteria,Al Qasimia Street,Sharjah,N/A,06-5722828,N/A,https://www.yellowpages-uae.com/delhi-cafeteria-175575.html,
Delhi Darbar Bombay Restaurant,"Naif Rd, Deira",Dubai,34496,04-2356161,N/A,https://www.yellowpages-uae.com/delhi-darbar-bombay-restaurant-117373.html,
Delhi Darbar Restaurant LLC,"Zabeel Rd, Karama",Dubai,34496,04-3347171,N/A,https://www.yellowpages-uae.com/delhi-darbar-restaurant-llc-114029.html,
Delhi Karachi Restaurant,National Paints,Sharjah,N/A,06-5343470,N/A,https://www.yellowpages-uae.com/delhi-karachi-restaurant-146791.html,
Delhis deli,"Times Square Centre, Sh Zayed Rd",Dubai,N/A,04-3234844,N/A,https://www.yellowpages-uae.com/delhis-deli-143560.html,
Delicacy Sweets & Bakers LLC,"Shop 1, Al Nahda 2 building, Baghdad Street",Dubai,N/A,04-2568664,N/A,https://www.yellowpages-uae.com/delicacy-sweets-bakers-llc-175249.html,
Delicia Restaurant LLC,"Mussafah 10, Sanayya",Abu Dhabi,N/A,02-5550071,N/A,https://www.yellowpages-uae.com/delicia-restaurant-llc-145483.html,
Delight Calicut LLC,Oasis Center,Dubai,N/A,04-3466706,N/A,https://www.yellowpages-uae.com/delight-calicut-llc-145304.html,
Delphine Restaurant & Bar,"The H Dubai, Shk Zayed Road",Dubai,N/A,04-5018623,N/A,https://www.yellowpages-uae.com/delphine-restaurant-bar-175827.html,
Desi Max Restaurant & Sweets LLC,Near Etisalat Office,Dubai,N/A,80033747,N/A,https://www.yellowpages-uae.com/desi-max-restaurant-sweets-llc-175308.html,
Desl Hut Restaurant,"Behind Grand City Mall, Al Quoz Industrial Area 4",Dubai,N/A,04-3383283,N/A,https://www.yellowpages-uae.com/desl-hut-restaurant-175547.html,
Dhaba Restaurant,"Behind Sunrise Supermarket, Al Qusais",Dubai,47351,04-2611685,N/A,https://www.yellowpages-uae.com/dhaba-restaurant-175226.html,
Dhe Chef,"Bhnd KM Trdg, Abu Shagara",Sharjah,N/A,06-5445060,N/A,https://www.yellowpages-uae.com/dhe-chef-175649.html,
Diamond City Restaurant LLC,Mussafah 10,Abu Dhabi,N/A,02-5553064,N/A,https://www.yellowpages-uae.com/diamond-city-restaurant-llc-145336.html,
Dibba Bakes,Abu Shagara,Sharjah,N/A,06-5348066,N/A,https://www.yellowpages-uae.com/dibba-bakes-175365.html,
Din Tai Fung,Mall Of The Emirates,Dubai,N/A,04-2651288,N/A,https://www.yellowpages-uae.com/din-tai-fung-175628.html,
Dine At Moonvalley BBQ Restaurant,"18B Street, Behind NBF Bank, Bur Dubai",Dubai,11893,04-3966412,N/A,https://www.yellowpages-uae.com/dine-at-moonvalley-bbq-restaurant-179088.html,
Diplomat Restaurant,"Bhnd Sharjah Water & Elec Dept Bldg, Mina Rd",Sharjah,2998,06-5696944,N/A,https://www.yellowpages-uae.com/diplomat-restaurant-132400.html,
Diwan Al Badia,"Al Badia Golf Club, DFC",Dubai,N/A,04-7011128,N/A,https://www.yellowpages-uae.com/diwan-al-badia-67692.html,
Docklands,"Dhow Palace Hotel, Bur Dubai",Dubai,N/A,04-3599992,N/A,https://www.yellowpages-uae.com/docklands-67693.html,
Dome Cafe,"Bin Soughat Centre, Rashidiya",Dubai,6774,04-2844498,N/A,https://www.yellowpages-uae.com/dome-cafe-145126.html,
Domino's Pizza,"Near Millenium Hotel, Corniche Rd",Sharjah,N/A,06-5569909,N/A,https://www.yellowpages-uae.com/domino-s-pizza-110778.html,
Doner Deli,Opposite Lulu Hypermarket,Dubai,N/A,800 6936637,N/A,https://www.yellowpages-uae.com/doner-deli-175352.html,
Doner Force,"X2 Tower, Lake View, Cluster X",Dubai,N/A,80036723,N/A,https://www.yellowpages-uae.com/doner-force-175261.html,
Doner Kebab,"Ground Level, SIT Tower,",Dubai,N/A,04-3207767,N/A,https://www.yellowpages-uae.com/doner-kebab-175258.html,
Dosa Hut Restaurant,Al Manama Hyper Market,Fujairah,N/A,09-2233474,N/A,https://www.yellowpages-uae.com/dosa-hut-restaurant-170734.html,
Dragon Bao Bao Cafeteria,"G-1, National Cinema Building, Hamdan Street, Al Markaziya",Abu Dhabi,N/A,02-6742235,N/A,https://www.yellowpages-uae.com/dragon-bao-bao-cafeteria-176359.html,
Dukkan Falafel,N/A,Jebel Ali,N/A,04-8876220,N/A,https://www.yellowpages-uae.com/dukkan-falafel-148057.html,
Dumpling Queen Restaurant FZCO,Intl City,Dubai,39398,04-3674558,N/A,https://www.yellowpages-uae.com/dumpling-queen-restaurant-fzco-137988.html,
Dunes Cuisine,"Muhaisnah, Ghusais",Dubai,N/A,04-2540022,N/A,https://www.yellowpages-uae.com/dunes-cuisine-145484.html,
DUO,Jumeirah Beach Residence,Dubai,N/A,04-4233785,N/A,https://www.yellowpages-uae.com/duo-102775.html,
Dustys,DIFC,Dubai,N/A,04-3545435,N/A,https://www.yellowpages-uae.com/dustys-175828.html,
DXB Grill,Millennium Airport Hotel,Dubai,N/A,04-7028888,N/A,https://www.yellowpages-uae.com/dxb-grill-175829.html,
Dynasty Chinese Restaurant,"Ramada Hotel, Bur Dubai",Dubai,N/A,04-3519999,N/A,https://www.yellowpages-uae.com/dynasty-chinese-restaurant-143808.html,
E T Sushi,"Ground Floor, Jumeirah Emirates Tower Hotel, Sheikh Zyed Road",Dubai,72127,04-3198088,N/A,https://www.yellowpages-uae.com/e-t-sushi-149161.html,
Eagle Restaurant,"Near Abu Hail Pharmacy, Hor Al Anz, Deira",Dubai,10349,04-2694997,N/A,https://www.yellowpages-uae.com/eagle-restaurant-115739.html,
Eastern Food Restaurant,Al Qusais,Dubai,235071,04-2671045,N/A,https://www.yellowpages-uae.com/eastern-food-restaurant-150802.html,
Eat & Treat Restaurant LLC,Ras Al Khor,Dubai,29417,04-3334275,N/A,https://www.yellowpages-uae.com/eat-treat-restaurant-llc-142816.html,
Eat and Drink Group of Restaurants,"Khaleefa Bin Din Bldg, Near Bus Station, Satwa",Dubai,65892,04-3496003,N/A,https://www.yellowpages-uae.com/eat-and-drink-group-of-restaurants-107822.html,
Eat Greek,JBR,Dubai,N/A,04-4305249,N/A,https://www.yellowpages-uae.com/eat-greek-175754.html,
Eat Max Cafeteria,"Behind Emax, Salim Bin Omar Street",Sharjah,N/A,06-5538706,N/A,https://www.yellowpages-uae.com/eat-max-cafeteria-175240.html,
Eat n Joy Restaurant & Cafeteria,"Behind BHS, Hamdan Street",Abu Dhabi,N/A,02-6322216,N/A,https://www.yellowpages-uae.com/eat-n-joy-restaurant-cafeteria-175516.html,
Eat Route,"Opposite Tasheel, King Abdul Azizi Street",Sharjah,N/A,06-5440676,N/A,https://www.yellowpages-uae.com/eat-route-175599.html,
Eataly,Dubai Mall,Dubai,N/A,04-3308899,N/A,https://www.yellowpages-uae.com/eataly-175755.html,
Eclipse Bar,"Intercontinental Hotel, Dubai Festival City",Dubai,N/A,04-7011111,N/A,https://www.yellowpages-uae.com/eclipse-bar-142734.html,
Elco Restaurants,"Shop 7, Al Arti Bldg, Zabeel Rd,",Dubai,115719,04-3972787,N/A,https://www.yellowpages-uae.com/elco-restaurants-175502.html,
Eldorado Restaurant,Electra St,Abu Dhabi,N/A,02-6761848,N/A,https://www.yellowpages-uae.com/eldorado-restaurant-145639.html,
Elevation Burger,"Latifa Tower, Near Crown Plaza, Shk Zayed Road",Dubai,N/A,04-3880000,N/A,https://www.yellowpages-uae.com/elevation-burger-175756.html,
Elia Greek Restaurant,"Majestic Hotel Tower, Bur Dubai",Dubai,N/A,04-3598888,N/A,https://www.yellowpages-uae.com/elia-greek-restaurant-175830.html,
Eloquent Elephant,"Taj Dubai, Business Bay",Dubai,N/A,04-4383100,N/A,https://www.yellowpages-uae.com/eloquent-elephant-175832.html,
Em Sherif,Downtown Dubai,Dubai,N/A,04-4243000,N/A,https://www.yellowpages-uae.com/em-sherif-175831.html,
Ember,"Dubai Mall, Downtown Dubai",Dubai,N/A,04-4388999,N/A,https://www.yellowpages-uae.com/ember-67699.html,
Emirates Restaurant,"Near Alico Aluminium Co, BMW Rd, Indl Area 2",Sharjah,36247,06-5338200,N/A,https://www.yellowpages-uae.com/emirates-restaurant-136116.html,
Emly Chilli,Al Nahda 1,Dubai,N/A,04-2837474,N/A,https://www.yellowpages-uae.com/emly-chilli-68504.html,
Entrecote - Al Khaleej Palace Hotel,"Near Etisalat, Maktoum St, Deira",Dubai,3720,04-2231000,N/A,https://www.yellowpages-uae.com/entrecote-al-khaleej-palace-hotel-111719.html,
Epicure,"Deser Palm Hotel, Al Awir Road",Dubai,N/A,04-3238888,N/A,https://www.yellowpages-uae.com/epicure-67381.html,
